"","Timestamp","awareness","testing","tuition","academic","fee","mask","hygiene","satisfaction","class","race","gender","college","class_type"
"1","8/22/2020 19:57",4,4,5,3,4,5,4,4,"Junior","White (Non-hispanic)","Male","College of Arts and Sciences","A general mix of both online and in-person"
"2","8/22/2020 20:01",4,5,2,2,5,4,5,4,"Junior","Hispanic","Female","College of Arts and Sciences","Primarily in-person"
"3","8/22/2020 20:03",2,3,5,2,5,2,4,3,"Freshman","Hispanic","Male","College of Engineering","Primarily online"
"4","8/22/2020 20:03",3,2,5,3,5,1,1,5,"Freshman","White (Non-hispanic)","Male","College of Engineering","Primarily in-person"
"5","8/22/2020 20:03",5,4,5,5,5,5,5,5,"Freshman","White (Non-hispanic)","Male","College of Engineering","Primarily online"
"6","8/22/2020 20:04",4,4,4,4,4,4,5,4,"Freshman","Two or More Races","Male","College of Education and Human Sciences","A general mix of both online and in-person"
"7","8/22/2020 20:08",3,4,5,3,5,4,5,4,"Freshman","White (Non-hispanic)","Female","Undecided","A general mix of both online and in-person"
"8","8/22/2020 20:09",4,4,5,2,5,5,4,3,"Freshman","White (Non-hispanic)","Female","College of Architecture","Primarily online"
"9","8/22/2020 20:09",3,4,5,3,5,3,3,3,"Freshman","Two or More Races","Female","College of Arts and Sciences","A general mix of both online and in-person"
"10","8/22/2020 20:09",4,4,5,2,5,5,4,4,"Freshman","White (Non-hispanic)","Non-binary","College of Arts and Sciences","A general mix of both online and in-person"
"11","8/22/2020 20:09",3,5,5,5,5,3,5,4,"Freshman","White (Non-hispanic)","Female","Undecided","A general mix of both online and in-person"
"12","8/22/2020 20:10",4,4,5,2,5,5,2,4,"Freshman","White (Non-hispanic)","Female","College of Arts and Sciences","A general mix of both online and in-person"
"13","8/22/2020 20:11",4,4,4,3,4,5,4,3,"Freshman","White (Non-hispanic)","Female","College of Arts and Sciences","A general mix of both online and in-person"
"14","8/22/2020 20:15",5,5,5,2,4,5,2,2,"Senior","White (Non-hispanic)","Female","College of Education and Human Sciences","A general mix of both online and in-person"
"15","8/22/2020 20:19",5,5,5,3,5,5,5,5,"Sophomore","White (Non-hispanic)","Male","College of Business","Primarily in-person"
"16","8/22/2020 20:20",3,2,3,4,4,4,4,2,"Freshman","White (Non-hispanic)","Male","College of Arts and Sciences","A general mix of both online and in-person"
"17","8/22/2020 20:20",5,3,5,1,5,5,5,3,"Freshman","White (Non-hispanic)","Male","College of Arts and Sciences","A general mix of both online and in-person"
"18","8/22/2020 20:22",4,1,5,2,4,4,2,3,"Freshman","Two or More Races","Female","College of Arts and Sciences","A general mix of both online and in-person"
"19","8/22/2020 20:22",5,4,5,2,5,5,3,2,"Sophomore","White (Non-hispanic)","Female","College of Business","A general mix of both online and in-person"
"20","8/22/2020 20:23",4,2,4,4,5,5,4,4,"Sophomore","White (Non-hispanic)","Female","College of Education and Human Sciences","Primarily online"
"21","8/22/2020 20:24",4,3,5,2,5,4,5,3,"Sophomore","White (Non-hispanic)","Female","College of Business","A general mix of both online and in-person"
"22","8/22/2020 20:25",2,2,5,3,5,4,3,3,"Junior","Asian","Male","College of Journalism and Mass Communication","A general mix of both online and in-person"
"23","8/22/2020 20:26",3,3,5,2,5,5,4,3,"Freshman","White (Non-hispanic)","Female","College of Business","A general mix of both online and in-person"
"24","8/22/2020 20:26",3,2,5,3,5,5,NA,2,"Freshman","Asian","Female","College of Arts and Sciences","A general mix of both online and in-person"
"25","8/22/2020 20:26",5,1,5,1,5,5,1,1,"Freshman","White (Non-hispanic)","Female","College of Arts and Sciences","Primarily in-person"
"26","8/22/2020 20:26",3,1,5,3,4,5,3,1,"Freshman","White (Non-hispanic)","Female","College of Arts and Sciences","A general mix of both online and in-person"
"27","8/22/2020 20:28",5,4,4,2,5,3,4,2,"Junior","White (Non-hispanic)","Male","College of Business","Primarily in-person"
"28","8/22/2020 20:32",4,2,4,3,2,5,4,3,"Freshman","White (Non-hispanic)","Male","College of Arts and Sciences","A general mix of both online and in-person"
"29","8/22/2020 20:35",3,2,5,3,5,5,NA,2,"Freshman","Asian","Female","College of Arts and Sciences","A general mix of both online and in-person"
"30","8/22/2020 20:36",5,5,3,3,4,5,5,5,"Freshman","Two or More Races","Male",NA,"A general mix of both online and in-person"
"31","8/22/2020 20:37",4,2,5,3,5,5,3,4,"Freshman","White (Non-hispanic)","Male","College of Arts and Sciences","A general mix of both online and in-person"
"32","8/22/2020 20:40",5,5,5,2,5,5,5,5,"Freshman","White (Non-hispanic)","Female","College of Agricultural Science and Natural Resources","A general mix of both online and in-person"
"33","8/22/2020 20:41",5,5,5,5,5,5,5,5,"Freshman","White (Non-hispanic)","Male","College of Business","A general mix of both online and in-person"
"34","8/22/2020 20:41",5,5,5,3,5,5,5,5,"Freshman","Asian","Female","College of Arts and Sciences","A general mix of both online and in-person"
"35","8/22/2020 20:42",5,5,5,2,5,5,5,5,"Sophomore","White (Non-hispanic)","Male","College of Business","A general mix of both online and in-person"
"36","8/22/2020 20:42",5,5,5,4,5,5,5,5,"Freshman","Hispanic","Female","College of Arts and Sciences","A general mix of both online and in-person"
"37","8/22/2020 20:42",4,3,5,2,5,5,4,3,"Freshman","White (Non-hispanic)","Male","College of Business","Primarily online"
"38","8/22/2020 20:43",5,3,4,2,4,3,4,4,"Freshman","White (Non-hispanic)","Female","College of Business","A general mix of both online and in-person"
"39","8/22/2020 20:43",2,3,5,1,5,5,4,3,"Freshman","White (Non-hispanic)","Female","College of Arts and Sciences","A general mix of both online and in-person"
